Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Description,Manufacturer
https://www.amazon.in/Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_21?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-21,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,₹988,4.4,"5,853",B07G4F6XFH," Care Instructions: Hand Wash Only Outer material: synthetic, color: brown Waterproof Capacity: 20 liters; Weight: 560 grams; Dimensions: 48 cms x 32 cms x 14 cms (LxWxH) Number of compartments: 2 Laptop compatibility: yes, laptop size: 16strap type: adjustable Anti theft waterproof bag with anti sweat fabric on back and shoulder straps USB and headphone cable slot External bottle pocket Concealed quick access Pockets on back panel ,Adjustable Anti sweat padded Shoulder straps , Padded Laptop sleeve,2 External Pockets, Padded Back Panel Cushioned with Anti Sweat Fabric,Embedded Organizer , USB and Headphone cable slot .",Brand: Gear 
https://www.amazon.in/Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_22?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-22,"Lenovo 15.6"" (39.62cm) Slim Everyday Backpack, Made in India, Compact, Water-resistant, Organized storage:Laptop sleeve,tablet pocket,front workstation,2-side pockets,Padded adjustable shoulder straps",₹570,4.3,"3,463",B08R7RPVJF," Slim, compact & sturdy: Minimal and compact design for professionals: Joint material design, durable, water-resistant polyester material. The padded shoulder straps, handle, and back panel provides protection and all-day comfort Smooth zippers that never jam or break Style meets Function: Minimal & compact design, stores and protects laptops up to 15.6-inches. Ideal for students and professionals looking for a stylish and compact backpack for daily use Spacious storage with easy organization: Inside, you'll find a laptop sleeve, a tablet pocket, a roomy front workstation, and two side pockets for quick access to your other essentials The padded shoulder straps, handle, and back panel provides protection and all-day comfort.",Brand: Lenovo
https://www.amazon.in/NORTH-ZONE-Waterproof-Backpack-Dimensions/dp/B0BS6QQZYN/ref=sr_1_23?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-23,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹569,4.0,427,B0BS6QQZYN," Care Instructions: Machine Wash Sleek, Stylish and Premium: Heavy duty ultra premium bag with exterior dimensions 44x29x15 cms. Made of Durable Polyester Fabric with Double zippers. sturdy durable, scratch resistant.; Multi Utility Bag: It is not only a student backpack, but also can be used as a business/work backpack, travelling, office, computer bag, hiking bag, daily bag and a lot more. Storage Space: There is a separate laptop compartment inside the backpack that can hold upto 15.6 inches laptop. The internal packaging compartment and external pockets can hold daily necessities, keeping your items organized and easier to find. Quick Storage: The front and side zipper pockets of the backpack are convenient for storing tablets, diaries, pens and pencils, smartphones, cards, change, etc. The side pockets of the backpack are convenient for storing compact umbrellas and other small items.",Brand: NORTH ZONE
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR/ref=sr_1_24?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-24,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",₹680,3.6,133,B0BYB631NR," Care Instructions: Wipe with Dry Cloth Care Instructions: Wipe with Dry Cloth PREMIUM MATERIAL: Made from high quality, Premium quality smooth zippers, pullers, buckles. Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands. USB FEATURE : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.",Brand: TRUE HUMAN 
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_25?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-25,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹799,3.8,"2,898",B09B29F66W," HIGH QUALITY FABRIC: Our lightweight yet durable bags are made of 100% polyester and water resistant fabric. This casual backpack can be by boys and girls for school, college, coaching, tution, or everyday outings. FRONT POCKET: Our trendy unisex bag pack has a front storage pocket that keeps small items neatly organized and easy to access MESH POCKET: Our fancy and stylish backpacks have mesh pockets on both sides to accommodate your water bottle and umbrella COMFORT: Our 26 liter bag has mesh padding on back to help carry heavy items. It also provides superior comfort with padded adjustable shoulder straps WARRANTY: All of our bags come with 1-year International Warranty against manufacturing defects",Brand: Safari 
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_26?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-26,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"₹1,049",4.0,"7,899",B097RJ22Q3," The Lino wheel Duffle Bag from Lavie Sport is a voluminous yet lightweight travel duffle. Made of high quality and durable materials, it provides the same function as a large-sized suitcase.Perfect travel duffle for weekend getaways. Built to last: This duffle bag for travel features a combi-lock, shoulder strap, fully lined interior and is built with high-quality polyester fabric for the utmost durability. Made from water repellent & premium zippers, it makes it a super durable and lightweight all-weather travel duffle bag. Plenty of Space & Easy to carry: The front side features a zippered pocket that is perfect to store quick access essentials. Lino luggage bags for travel have sturdy heavy-duty treaded rubber wheels in a protective wheel housing and retractable trolley for smooth mobility and maximum durability. External Dimension: Length – 63cm, Width – 30cm, Height – 32cm, Capacity - 60 Litres. Manufacturer warranty - 2 years",Brand: Lavie Sport 
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzYxNjIwOTA2NTU1NzE1OjE2ODg2NjAxMjA6c3BfbXRmOjMwMDAwNjc1MTI0MTQzMjo6MDo6&url=%2FWALKENT-Stylish-Anti-Theft-Pockets-Cylapso%2Fdp%2FB0C7KLRJ93%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660120%26sprefix%3Dba%252Caps%252C283%26sr%3D8-27-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT Stylish 15.6"" Laptop Bag with Side Bottle Pocket, Anti-Theft Pockets & More for Men & Women (Model Cylapso, 27 Liters)","₹2,490",Not available,Not available,B0C7KLRJ93," Care Instructions: Wipe with Damp Cloth Durable and waterproof new & special silk polyester outer material ensures your belongings stay dry Cushioned shoulder straps and laptop compartment provide comfort and protection for your laptop while on the go Stay organized with multiple organizer pockets inside the bag to keep your belongings in place With a capacity of 27 liters, there is plenty of space for all your daily essentials The latest fashion laptop bag design makes it the perfect accessory for both men and women in the office or college",Brand: WALKENT 
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNzYxNjIwOTA2NTU1NzE1OjE2ODg2NjAxMjA6c3BfbXRmOjIwMTYzODQ3NzkzNDk4OjowOjo&url=%2FWALKENT-Darwstring-Waterproof-Resistant-Exterior%2Fdp%2FB0BRYDDG1L%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1688660120%26sprefix%3Dba%252Caps%252C283%26sr%3D8-28-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"WALKENT Stylish 15.6 inches Laptop Bag - Waterproof & Scratch Resistant Exterior for Office, College, Men, Women","₹1,989",4.8,5,B0BRYDDG1L," WATER RESISTANT & SCRATCH RESISTANT – Oxford Fabric Outer material is scratch r& water resistant. Covering Flap with tight zipper makes this bag almost waterproof SPECIAL DESIGN FLAP CLOSURE WITH HOOKS - Two toned special design and button hook closure makes this bag attractive and stylish ANTI THEFT POCKET – A specially designed pocket at the back of the back makes a perfect place to keep your wallet, mobile etc.. and safe from theft STYLISH & FASHIONABLE – Two tone colour with PU material on top and bottom makes this bag highly attractive and stylish MULTIPLE APPLICATIONS - Perfect for Travel, Business, Daily use, Casual use, School, College, Office. Fits 15.6 inch laptop, tablets and more",Brand: WALKENT 
https://www.amazon.in/School-school-partition-Collage-Backpack/dp/B09NNYCQ1Q/ref=sr_1_29?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-29,URBAN CARRIER School Bag For girls school bags for boys Class 5-10 Large 4 partition 45 L Laptop Collage Office Travel Unisex Backpack,₹431,3.6,860,B09NNYCQ1Q," Care Instructions: Hand Wash Only Fit Type: Regular<br><br> Fabric : Polyester, Stylish And Durable Backpack For Office School /College And Travel. Easily Accommodate A Laptop. Size: 40 Cm X 33 Cm X 25 Cm<br><br> Adjustable Padded Shoulder Straps / 2 Bottle Holders / Duble stitching For Carry Havy books / Stylish look/Comfortable Shoulder starps; Padded Back Panel And Padded Shoulder Straps<br><br> Suitable For : Casual Backpacks , Laptop Backpacks ,School Bags ,Office Backpacks ,College Bag ,Daypacks , Travel Backpack , Casual Bags, Backpacks , Bagpacks<br><br> Color Name: Navy White; Closure Type: Zipper; Water Resistance Level: Waterproof; Age Range Description: Adult; Special Features: Laptop Compartment<br>",Brand: URBAN CARRIER
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_30?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-30,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,₹229,4.3,"3,339",B08L6Q9V1H, Care Instructions: Hand Wash Only Compartments : 1 Compartment and 1 front pocket :: Zipper : #5 SBS Nylon Zipper and Runner Puller,Brand: Arctic Fox 
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_31?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-31,ADISA 32L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),₹599,3.8,223,B0BPVLXD53, Material: Water Resistant Strong Polyester Compartments: 2 with padding Laptop Size: 15.6 inch and below Dimensions: LxWxH - 11 x 6 x 18 inches Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover,Brand: ADISA 
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_32?crid=2M096C61O4MLT&keywords=bags&qid=1688660120&sprefix=ba%2Caps%2C283&sr=8-32,"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","₹1,399",4.3,422,B0BTD4FK9G," Care Instructions: Hand Wash Only Well Organized compartment ,Security Back Pocket",Brand: American Tourister
